"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - potrivește orice; 'xyz*' - se potrivește cu oricare care începe pe 'xyz' și nu mai mult de %d."
"-- Please Select --","-- Vă rugăm selectaţi --"
"Add New Class","Add New Class"
"Add New Tax Rate","Adaugă o nouă rată de impozitare"
"Add New Tax Rule","Adauga o noua regula de taxe"
"After Discount","După reducere"
"An error occurred while deleting this rate.","A aparut o eroare la stergerea acestei rate."
"An error occurred while deleting this rate. Incorrect rate ID.","A apărut o eroare la ștergerea acestei rate. Rata de identificare este incorectă."
"An error occurred while deleting this tax class.","A aparut o eroare la stergerea clasei de taxe."
"An error occurred while deleting this tax rule.","A aparut o eroare la stergerea acestei reguli de taxare."
"An error occurred while saving this tax class.","A aparut o eroare la salvarea clasei de taxe."
"An error occurred while saving this tax class. A class with the same name","A aparut o eroare la salvarea clasei de taxe. O clasa cu acelasi nume"
"An error occurred while saving this tax rule.","A aparut o eroare la salvarea acestei reguli."
"Apply Customer Tax","Aplică Taxa Client"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Aplică reducerea la preț, inclusiv taxa, este calculată pe baza impozitului pe magazin, dacă opțiunea ""Aplică impozit după reducere"" este selectată."
"Apply Discount On Prices","Aplică reducere la prețuri"
"Apply Tax On","Aplică Taxa la"
"Are you sure you want to do this?","Ești sigur că vrei să faci asta?"
"Back","Înapoi"
"Before Discount","Înainte de reducere"
"Calculate off subtotal only","Calculează doar din subtotal"
"Calculation Settings","Setări de calcul"
"Catalog Prices","Prețuri catalog"
"Class Name","Numele clasei"
"Click here to go to <a href=""%s"">Tax configuration</a> and change your settings.","Faceți clic aici pentru a merge la <a href=""%s"">Configurația fiscală</a> și modificați setările."
"Code","Cod"
"Country","Țară"
"CSV","CSV"
"Customer Tax Class","Clasa de impozitare client"
"Customer Tax Classes","Clase de impozitare client"
"Customer Tax Class Information","Informații clasă de impozitare client"
"Custom price if available","Preț personalizat dacă este disponibil"
"Default Country","Țară implicită"
"Default Post Code","Cod Poștal Implicit"
"Default State","Stare implicită"
"Default Tax Destination Calculation","Calcularea Destinației Taxei Implicite"
"Delete Class","Șterge Clasa"
"Delete Rate","Șterge rata"
"Delete Rule","Șterge Regula"
"Display Full Tax Summary","Afișare Rezumat Taxe Complet"
"Display Prices","Afișare Prețuri"
"Display Product Prices In Catalog","Afișează prețurile produselor în Catalog"
"Display Shipping Amount","Afişare Sumă Livrare"
"Display Shipping Prices","Afișează prețurile de livrare"
"Display Subtotal","Afișare Subtotal"
"Display Zero Tax Subtotal","Afișare Subtotal impozit zero"
