"-- Top Level --","-- Nivelul superior --"
"-- Use System Default --","-- Foloseste sistemul implicit --"
"A category with URL key ""%s"" already exists under the same parent.","O categorie cu cheia URL""%sexistă deja sub acelaşi părinte."
"Add Category","Adaugă Categorie"
"Add Post","Adaugă Postare"
"Blog","Blog"
"Blog Categories","Categorii blog"
"Blog Category","Categorie blog"
"Blog Post","Postare pe blog"
"Blog Post API","API-ul postarii Blog"
"Blog Posts","Postchar@@0ri pe blog"
"Categories","Categorii"
"Category Information","Informații categorie"
"Category Posts","Categorie postări"
"Category URL Prefix","Prefix URL categorie"
"Category was successfully deleted","Categoria a fost ștearsă cu succes"
"Category was successfully saved","Categoria a fost salvată cu succes"
"Create blog post","Crează postare pe blog"
"Create new post","Creează o postare nouă"
"Delete Category","Șterge categoria"
"Delete Post","Șterge postarea"
"Delete post","Șterge postarea"
"Edit Category","Editează Categoria"
"Edit Category '%s'","Editare Categorie%s'"
"Edit Post","Editează postarea"
"Edit Post '%s'","Editează postarea '%s'"
"Enable Blog Search in Autosuggest","Activare Căutare pe Blog în AutoSugerează"
"Enable Categories","Activare categorii"
"General","Generalități"
"General Information","Informaţii generale"
"Get post info","Obține informații postare"
"Get post list","Obține lista de postări"
"Include Images","Include imagini"
"Level","Nivel"
"Maximum Blog Posts in Autosuggest","Numărul maxim de postări pe blog în AutoSugerare"
"Meta Information","Informații Meta"
"Meta Title","Titlu Meta"
"New Category","Categorie nouă"
"New Post","Postare nouă"
"Parent Category","Categorie părinte"
"Please select category(s)","Vă rugăm selectaţi categoria(ele)"
"Please select post(s)","Vă rugăm să selectaţi postarea/postările"
"Position","Poziție"
"Post Categories","Categorii Postare"
"Post Content","Conținut postare"
"Post Information","Informatii Postare"
"Posts","Mesaje"
"Posts per Page","Postări pe pagină"
"Post was successfully deleted","Postarea a fost stearsa cu succes"
"Post was successfully saved","Postarea a fost salvata cu succes"
"Publishing Date","Data publicării"
"Remove blog post","Elimină postarea pe blog"
"Retrieve blog post info","Recuperează informații despre postarea pe blog"
"Retrieve blog posts","Recuperează postări pe blog"
"Save Category","Salvează categoria"
"Save Post","Salvează postarea"
"Show in Navigation","Arată în navigare"
"There are no blog posts in this category.","Nu există postări de blog în această categorie."
"There are no blog posts to display.","Nu există postări de blog de afișat."
"This category no longer exists.","Această categorie nu mai există."
"This post no longer exists.","Această postare nu mai există."
"Total of %d category(s) were deleted","Totalul categoriei %d a fost şters"
"Total of %d post(s) were deleted","În total, %d postări au fost șterse"
"Update blog post","Actualizeaza postare pe blog"
"Update post","Actualizează postarea"
"URL Prefix","Prefix URL"
