"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Katalog Prisregler baserade på ""%s"" attribut har inaktiverats."
"-- All Active Rules --","-- Alla aktiva regler --"
"86400 by default, if not set. Rule prices change with the daily catalog rule reindex.","86400 som standard, om inte satt. Regelpriserna ändras med den dagliga katalogregeln."
"Actions","Åtgärder"
"Active","Aktiv"
"Add New Rule","Lägg till ny regel"
"An error occurred while deleting the rule. Please review the log and try again.","Ett fel inträffade när regeln skulle tas bort. Granska loggen och försök igen."
"An error occurred while saving the rule data. Please review the log and try again.","Ett fel inträffade när regeldata skulle sparas. Granska loggen och försök igen."
"Apply","Tillämpa"
"Apply Rules","Tillämpa regler"
"Attribute Set","Attributset"
"Best Selling","Bäst försäljning"
"Biggest Discount","Största rabatten"
"By Fixed Amount","Av fast belopp"
"By Percentage of the Original Price","Procent av det ursprungliga priset"
"Catalog","Katalog"
"Catalog On Sale Products","Katalog på rea produkter"
"Catalog Price Rule","Katalog prisregel"
"Catalog Price Rules","Prisregler för katalog"
"Category","Kategori"
"Conditions","Villkor"
"Conditions (leave blank for all products)","Villkor (lämna tomt för alla produkter)"
"Conditions Combination","Villkor Kombination"
"Customer Groups","Kund grupper"
"Date Expire","Datum löper ut"
"Date From","Datum från"
"Date Start","Startdatum"
"Date To","Datum till"
"Description","Beskrivning"
"Discount Amount","Rabatt belopp"
"Edit Rule","Redigera regel"
"Edit Rule '%s'","Redigera regel '%s'"
"Enable Discount to Subproducts","Aktivera rabatt för underprodukter"
"Expiration Date","Utgångsdatum"
"From Date","Från datum"
"General Information","Allmän information"
"ID","ID"
"Inactive","Inaktiv"
"List of Products with an active Catalog Price Rule discount","Förteckning över produkter med en aktiv katalog pris regel rabatt"
"Newest","Nyaste"
"New Rule","Ny regel"
"No","Nej"
"Only In-Stock Products","Endast produkter i lager"
"On Sale","På rea"
"On Sale Images and Names Template","På rea bilder och namn mall"
"On Sale Images Only Template","På rea bilder enda mall"
"On Sale Names Only Template","Endast mallen på försäljningsnamn"
"On Sale Products Grid Template","Vid försäljning produkter rutnätsmall"
"On Sale Products List Template","På försäljning produkter lista mall"
"Options","Alternativ"
"Order Products By","Beställ produkter av"
"Priority","Prioritet"
"Product Attribute","Produktattribut"
"Promotions","Kampanjer"
"Random","Slumpmässig"
"Restrict to a single rule (e.g. ""Offer of the month""). Leave empty for all active rules.","Begränsa till en enda regel (t.ex. ""Månadens erbjudande""). Lämna tomt för alla aktiva regler."
"Rule Information","Regel Information"
"Rule Name","Regel namn"
"Save and Apply","Spara och tillämpa"
"Save and Continue Edit","Spara och fortsätt redigera"
"Start Date","Startdatum"
"Status","Status"
"Stop Further Rules Processing","Stoppa ytterligare regler behandling"
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Det finns regler som har ändrats men som inte har tillämpats. Klicka på Tillämpa regler för att se omedelbar effekt i katalogen."
"The rule has been deleted.","Regeln har tagits bort."
"The rule has been saved.","Regeln har sparats."
"The rules have been applied.","Reglerna har tillämpats."
"This rule no longer exists.","Denna regel existerar inte längre."
"To Date","Till datum"
"To Fixed Amount","Till fast belopp"
"To Percentage of the Original Price","Till procent av det ursprungliga priset"
"Type","Typ"
"Unable to apply rules.","Det går inte att tillämpa regler."
"Unable to find a rule to delete.","Det gick inte att hitta en regel att ta bort."
"Update Prices Using the Following Information","Uppdatera priser med hjälp av följande information"
"Update product's %s %s: %s","Uppdatera produktens %s %s: %s"
"Website","Webbplats"
"Websites","Webbplatser"
"Wrong rule specified","Fel regel angiven"
"Wrong rule specified.","Fel regel angiven."
"Yes","Ja"
