"%s and greater","%s och större"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d objekt</strong> hittades med följande sökkriterier"
"Advanced Search","Avancerad sökning"
"Advanced Search Form","Avancerat sökformulär"
"Advanced Search Result","Avancerat sökresultat"
"All","Alla"
"Applies for ""Like"" search type only.","Gäller endast ""Gilla"" söktyp."
"Apply Layered Navigation if Search Results are Less Than","Tillämpa Layered Navigation om sökresultaten är mindre än"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Attributinställningen ändras i samband med sökindexet. Vänligen kör <a href=""%s"">Bygg om sökindexet</a> processen."
"Autogenerated Site Map","Autogenererad Webbplatskarta"
"Boost SKU Matches in Search Results","Öka SKU matchningar i sökresultat"
"Catalog Advanced Search","Katalog Avancerad sökning"
"Catalog Search","Katalog sökning"
"Catalog Search Index","Katalog sökindex"
"Categories","Kategorier"
"Don't see what you're looking for?","Ser du inte vad du söker?"
"Enable Category Search in Autosuggest","Aktivera kategorisökning i Autosugast"
"Enter ""0"" to enable layered navigation for any number of results.","Ange ""0"" för att aktivera lagernavigering för valfritt antal resultat."
"Fulltext Separator","Fulltext Separator"
"Go to Home Page","Gå till startsidan"
"Grid","Rutnät"
"Home","Hem"
"List","Lista"
"Maximum Categories in Autosuggest","Maximalt antal kategorier i Autosugast"
"Maximum Query Length","Maximal frågelängd"
"Maximum Query Words Count","Maximalt antal frågeord"
"Maximum Search query length is %s. Your query was cut.","Maximal sökfrågans längd är %s. Din fråga har klippts."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Maximalt antal ord är %1$s. I din sökfråga klipptes nästa del: %2$s."
"Minimal Query Length","Minimal frågelängd"
"Minimum Search query length is %s","Lägsta sökfrågans längd är %s"
"Modify your search","Ändra din sökning"
"No","Nej"
"No items were found using the following search criteria.","Inga objekt hittades med följande sökkriterier."
"Please specify at least one search term.","Ange minst en sökterm."
"Popular Search Terms","Populära söktermer"
"Products","Produkter"
"Quick Search Form","Snabbsöknings formulär"
"Rebuild Catalog product fulltext search index","Återskapa katalog produkt fulltext sökindex"
"Redirect to product page if search generates one result","Omdirigera till produktsidan om sökningen genererar ett resultat"
"Relevance","Relevans"
"Results","Resultat"
"Search","Sök"
"Search:","Sök:"
"Search entire store here...","Sök i hela butiken här..."
"Search results for '%s'","Sökresultat för '%s'"
"Search results for: '%s'","Sökresultat för: '%s'"
"Search Settings","Sök inställningar"
"Search Terms","Sök villkor"
"Search Type","Sök typ"
"Show Autocomplete Results Count","Visa antalet Autokompletterade resultat"
"Specified date is invalid.","Angivet datum är ogiltigt."
"Subscribe to Feed","Prenumerera på flöde"
"up to %s","upp till %s"
"View all %s results","Visa alla %s resultat"
"When enabled and SKU is searchable, products matching by SKU are boosted to the top of search results.","När aktiverat och SKU är sökbart ökas produkter som matchar med SKU till toppen av sökresultaten."
"Yes","Ja"
"Your search returns no results.","Din sökning ger inga resultat."
