"%dh","%dh"
"%dh %dm","%dh %dm"
"%dm","%dm"
"%dm %ds","%dm %ds"
"%ds","%ds"
"Are you sure you want to disable the selected cron job(s)?","Är du säker på att du vill inaktivera det markerade cron-jobbet(n)?"
"At %s","Vid %s"
"Callback","Callback"
"Clear History","Rensa historik"
"Close","Stäng"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Schemalagda uppgifter) - alla tider är på några minuter"
"Cron does not appear to be running. No jobs have been executed in the last hour. Please verify that cron is configured on your server.","Cron verkar inte vara igång. Inga jobb har utförts under den senaste timmen. Kontrollera att cron är konfigurerad på din server."
"Cron history has been cleared. %d record(s) deleted.","Cron historik har rensats. %d post(er) borttagna."
"Cron job ""%s"" has been disabled.","Cron job ""%s"" har inaktiverats."
"Cron job ""%s"" has been enabled.","Cron job ""%s"" har aktiverats."
"Cron Jobs","Cron jobb"
"Daily","Dagligen"
"Daily at %s","Dagligen på %s"
"day %s","dag %s"
"Disable","Inaktivera"
"Disabled","Inaktiverad"
"Enable","Aktivera"
"Enabled","Aktiverad"
"Every %d hours at minute %d","Varje %d timmar på minut %d"
"Every %d minutes","Varje %d minuter"
"Every cron run","Varje cron-kör"
"Every hour","Varje timme"
"Every minute","Varje minut"
"Execution History","Exekverings historik"
"Failure History Lifetime","Livstid för misslyckad historik"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","För korrekta URL:er som genereras under cron-körningar, se till att webb> Säkra och osäkra bas-URL:er uttryckligen anges."
"Generate Schedules Every","Generera scheman varje"
"History","Historik"
"History Cleanup Every","Upprensning av historik Varje"
"hour %s","timme %s"
"Hourly","Timvis"
"Invalid callback: %s::%s does not exist","Ogiltig uppringning: %s::%s finns inte"
"Invalid model/method definition, expecting ""model/class::method"".","Ogiltig modell/metoddefinition, förväntar sig ""modell/klass::method""."
"Job Code","Jobbkod"
"Job did not complete: the process died or exceeded the maximum running time (%s minutes).","Jobbet slutfördes inte: processen dog eller överskred den maximala körtiden (%s minuter)."
"Last Run","Senaste körning"
"Last Status","Senaste status"
"Manually reset via cron:unlock: job never completed.","Återställs manuellt via cron:unlock: jobbet har aldrig slutförts."
"Mark as Error if Still Running After","Markera som ett fel om du fortfarande kör efter"
"minute %s","minut %s"
"Missed","Missade"
"Missed if Not Run Within","Missade om inte köra inom"
"month %s","månad %s"
"Monthly","Månadsvis"
"Monthly on day %d at %s","Månadsvis på dagen %d på %s"
"Next Run","Nästa körning"
"No callbacks found","Inga callbacks hittades"
"No execution history found.","Ingen körningshistorik hittades."
"No job code specified.","Ingen jobbkod angiven."
"No schedule ID specified.","Inget schema-ID angivet."
"Not run","Kör inte"
"Not scheduled","Inte schemalagd"
"Pending","Väntande"
"Please select cron job(s).","Välj cron-jobb(er)."
"Request failed","Begäran misslyckades"
"Run Cron Job","Kör Cron Job"
"Running","Körs"
"Running...","Kör..."
"Run Now","Kör nu"
"Schedule","Schema"
"Schedule Ahead for","Schemalägg framåt för"
"Schedule not found.","Schemat hittades inte."
"Stale jobs whose worker died (OOM, timeout, SIGKILL) are flipped from ""running"" to ""error"" after this many minutes. Keep this above the runtime of your slowest job, as any job still running past this threshold is marked as an error. Set to 0 to disable.","Skala jobb vars arbetare dog (OOM, timeout, SIGKILL) vänds från ""kör"" till ""fel"" efter så här många minuter. Håll detta ovanför körtiden för ditt långsammaste jobb, som alla jobb fortfarande kör förbi denna tröskel markeras som ett fel. Sätt till 0 för att inaktivera."
"Success","Klart"
"Success History Lifetime","Livstid för framgångshistorik"
"Timed out","Tidsgräns"
"Too late for the schedule.","För sent för schemat."
"Total of %d cron job(s) were disabled.","Totalt antal %d cron jobb inaktiverades."
"Total of %d cron job(s) were enabled.","Totalt antal %d cron jobb(er) har aktiverats."
"Unable to save the cron expression.","Det går inte att spara cron-uttrycket."
"Unknown cron job: %s","Okänt cron-jobb: %s"
"weekday %s","veckodag %s"
"Weekly","Veckovis"
"Weekly on %s at %s","Veckovis på %s på %s"
