"%d country(s) were skipped because they no longer exist.","%d land hoppades över eftersom de inte längre existerar."
"%d region(s) were skipped because they have existing region names.","%d region(er) hoppades över eftersom de har befintliga regionnamn."
"-- Please select --","-- Välj --"
"A country with this ID already exists.","Ett land med detta ID finns redan."
"Add New Country","Lägg till nytt land"
"Add New Region","Lägg till ny region"
"Add Translation","Lägg till översättning"
"Allowed Currencies","Tillåtna valutor"
"An invalid base currency has been entered.","En ogiltig basvaluta har angetts."
"API Access Key","API åtkomstnyckel"
"API Key","API nyckel"
"A region name for this locale and region combination already exists.","Ett regionnamn för denna lokal- och regionskombination finns redan."
"A region with code ""%s"" already exists in this country.","En region med koden ""%s"" finns redan i detta land."
"Are you sure you want to delete the selected countries?","Vill du verkligen ta bort de markerade länderna?"
"Are you sure you want to delete the selected region names?","Är du säker på att du vill ta bort de markerade regionnamnet?"
"Are you sure you want to delete the selected regions?","Vill du verkligen ta bort de markerade regionerna?"
"Are you sure you want to delete this country?","Är du säker på att du vill ta bort detta land?"
"Are you sure you want to delete this region?","Är du säker på att du vill ta bort denna region?"
"Base Currency","Basvaluta"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Basvaluta används för alla betalningar online. Omfattningen definieras av katalogens prisomfattning (""Katalog"" > ""Pris"" > ""Katalog Pris"")."
"Cannot delete region with existing region names. Please delete all region names first.","Kan inte ta bort region med befintliga regionnamn. Ta bort alla regionnamn först."
"Close","Stäng"
"Connection Timeout in Seconds","Anslutningstimme i sekunder"
"Continue &raquo;","Fortsätt &raquo;"
"Countries","Länder"
"Country","Land"
"Country and Format Type combination should be unique","Land och formattyp kombination bör vara unik"
"Country API","Land API"
"Country ID","Land ID"
"Country ID cannot be changed after creation","Land ID kan inte ändras efter skapande"
"Country ID is required.","Land ID måste fyllas i."
"Country ID must be exactly 2 uppercase letters.","Land ID måste vara exakt 2 versaler."
"Country Information","Information om landet"
"Country is required.","Land är obligatoriskt."
"Country Name","Landets namn"
"Currency","Valuta"
"CurrencyConverterAPI","ValutaConverterAPI"
"Currency Options","Valutaalternativ"
"Currency rates can't be retrieved.","Valutakurser kan inte hämtas."
"Currency rate service error: %s","Fel på valutakurs service: %s"
"Currency Setup","Konfiguration av valuta"
"Currency Update Warnings","Varningar för valutauppdatering"
"Default: only add new locales","Standard: lägg bara till nya språk"
"Default Display Currency","Förvald visningsvaluta"
"Default Name","Förvalt namn"
"Default name cannot be longer than 255 characters.","Standardnamnet får inte vara längre än 255 tecken."
"Default name for this region in English","Standardnamn för denna region på engelska"
"Default name is required.","Standardnamn måste fyllas i."
"Delete Country","Ta bort land"
"Delete Region","Ta bort region"
"Directory","Katalog"
"Directory Management","Hantering av katalog"
"Display not required State","Visa inte obligatorisk status"
"Edit Country","Redigera land"
"Edit Country ""%s""","Redigera land ""%s"""
"Edit Region","Redigera region"
"Edit Region ""%s""","Redigera region ""%s"""
"Enabled","Aktiverad"
"Error:","Fel:"
"Error Email Recipient","Mottagare för e-postfel"
"Error Email Sender","Error Email Sender"
"Error Email Template","E-postmall för fel"
"FATAL ERROR:","FATALT FEL:"
"Frequency","Frekvens"
"Hold Ctrl/Cmd to select multiple countries","Håll Ctrl/Cmd för att välja flera länder"
"Hold Ctrl/Cmd to select multiple locales","Håll Ctrl/Cmd för att välja flera språk"
"Import","Importera"
"Import completed successfully.","Importen slutfördes."
"Import Regions","Importera regioner"
"Import Results","Importera resultat"
"Installed Currencies","Installerade valutor"
"Invalid country code: %s","Ogiltig landskod: %s"
"Invalid Import Service specified.","Ogiltig importtjänst angiven."
"Invalid rates received","Ogiltiga mottagna priser"
"Invalid target currency.","Ogiltig målvaluta."
"ISO2 Code","ISO2 Code"
"ISO2 code is required.","ISO2-kod krävs."
"ISO2 code must be exactly 2 uppercase letters.","ISO2-koden måste vara exakt 2 versaler."
"ISO3 Code","ISO3 Code"
"ISO3 code is required.","ISO3-kod krävs."
"ISO3 code must be exactly 3 uppercase letters.","ISO3-koden måste vara exakt 3 versaler."
"List of countries","Lista över länder"
"List of regions in specified country","Lista över regioner i ett angivet land"
"Locale and region name are required.","Lokal- och regionnamn krävs."
"Locale is required.","Språk måste fyllas i."
"Locales","Locales"
"Localized Name","Lokalt namn"
"Localized name for this region","Lokalt namn för denna region"
"Manage Countries","Hantera länder"
"Manage Directory","Hantera katalog"
"Manage Regions","Hantera regioner"
"Manage Translations","Hantera översättningar"
