"Abandoned Carts","Övergivna vagnar"
"Abandoned carts","Övergivna vagnar"
"Action","Åtgärd"
"Add to Cart","Lägg till i kundvagn"
"Add to Compare","Lägg till i jämförelse"
"Add to Wishlist","Lägg till i önskelista"
"All Time","Hela tiden"
"Any","Valfri"
"Applied Coupon","Tillämpad kupong"
"Applies to Any of the Specified Order Statuses","Gäller någon av de angivna orderstatus"
"Are you sure?","Är du säker?"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Är du säker på att du vill uppdatera livstidsstatistiken? Det kan vara prestandapåverkan under denna åtgärd."
"Avg. Approved Rating","Genomsnitt. Godkänt betyg"
"Avg. Rating","Genomsnittlig betyg"
"Bestsellers","Bestsellers"
"Bestsellers Grid Template","Storsäljare Rutnätsmall"
"Bestsellers Images and Names Template","Storsäljare Bilder och Namn Mall"
"Bestsellers Images Only Template","Storsäljare bilder endast mall"
"Bestsellers List Template","Storsäljare Lista mall"
"Bestsellers Names Only Template","Enbart toppsäljarens namn"
"Carts","Varukorgar"
"Catalog Category (Without Subcategories)","Katalog kategori (utan underkategorier)"
"Compared Product Images Only Template","Jämförda produktbilder endast mall"
"Compared Product Names Only Template","Jämförda produktnamn endast mall"
"Compared Products Grid Template","Jämförda produkter rutnätsmall"
"Compared Products Images and Names Template","Jämförda produkter bilder och namn mall"
"Compared Products List Template","Jämförda produkter listmall"
"Coupons","Rabattkoder"
"Coupons Usage Report","Användningsrapport om kuponger"
"Created At","Skapad den"
"CSV","CSV"
"Current Month Starts","Nuvarande månad startar"
"Customer","Kund"
"Customer Name","Kundens namn"
"Customers","Kunder"
"Customers by Number of Orders","Kunder efter Antal Beställningar"
"Customers by number of orders","Kunder efter antal order"
"Customers by Orders Total","Kunder efter Beställningar Totalt"
"Customers by orders total","Kunder efter order totalt"
"Customers Report","Rapportera kunder"
"Customers Reviews","Kunder Recensioner"
"Customers Tags","Kunder Taggar"
"Customer Tags","Kund Taggar"
"Dashboard","Instrumentpanel"
"Day","Dag"
"Default Recently Compared Products Count","Antal standardprodukter som nyligen jämförts"
"Default Recently Viewed Products Count","Antal nyligen visade produkter"
"Description","Beskrivning"
"Detail","Detalj"
"Downloads","Nedladdningar"
"Email","E-post"
"Empty Rows","Tomma rader"
"Enable Product Compare","Aktivera produktjämförelse"
"Enable Recently Viewed Products","Aktivera nyligen visade produkter"
"Enable Reports","Aktivera rapporter"
"Excel XML","Excel XML"
"Filter","Filtrera"
"First Name","Förnamn"
"From","Från"
"General","Allmänt"
"Guest","Gäst"
"Hits","Hits"
"ID","ID"
"Index model name must be defined","Indexmodellens namn måste definieras"
"Invalid date specified.","Ogiltigt datum angivet."
"Invoiced","Fakturerad"
"IP Address","IP-adress"
"Items in Cart","Artiklar i varukorgen"
"Last 7 Days","Senaste 7 dagarna"
"Last 30 Days","Senaste 30 dagarna"
"Last Name","Efternamn"
"Last Review","Senast granskad"
"Link","Länk"
"List of best selling products for a given period","Förteckning över bästsäljande produkter under en viss period"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Lista över produkter som nyligen jämförts och tagits bort från jämförelselistan av besökare"
"List of Products Recently Viewed by Visitor","Förteckning över produkter som nyligen visats av besökare"
"Low Stock","Lågt lager"
"Low stock","Lågt lager"
"Match Period To","Matcha period till"
"Month","Månad"
"Most Viewed","Mest visade"
"Name","Namn"
"New Accounts","Nya konton"
"No","Nej"
"Number Added","Nummer tillagda"
