"All Websites","Alla webbplatser"
"Apply Discounts To FPT","Tillämpa rabatter på FPT"
"Display Prices In Emails","Visa priser i e-post"
"Display Prices In Product Lists","Visa priser i produktlistor"
"Display Prices In Sales Modules","Visa priser i försäljningsmoduler"
"Display Prices On Product View Page","Visa priser på produktvisningssidan"
"Enable FPT","Aktivera FPT"
"Excluding FPT","Exklusive FPT"
"Excluding FPT, FPT description, final price","Exklusive FPT, FPT beskrivning, slutligt pris"
"Fixed Product Tax","Fast produktskatt"
"Fixed Product Taxes","Fasta produktskatter"
"FPT Tax Configuration","FPT momskonfiguration"
"Include FPT In Subtotal","Inkludera FPT i delsumma"
"Including FPT and FPT description","Inklusive FPT och FPT beskrivning"
"Including FPT and FPT description [incl. FPT VAT]","Inklusive FPT och FPT beskrivning [inkl. FPT moms]"
"Including FPT only","Inklusive endast FPT"
"Loaded and Displayed with Tax","Laddad och visas med moms"
"Not Taxed","Inte beskattad"
"Taxed","Beskattad"
"Total","Totalt"
"Total Incl. Tax","Totalt inkl moms"
"Total incl. tax","Totalt inkl. moms"
