"-- All Categories --","-- Alla kategorier --"
"-- Top Level --","-- Högsta nivå --"
"-- Use System Default --","-- Använd systemstandard --"
"86400 by default, if not set. Saving a post refreshes it.","86400 som standard, om inte angivet. Sparar ett inlägg uppdaterar det."
"A category with URL key ""%s"" already exists under the same parent.","En kategori med URL-nyckel ""%s"" finns redan under samma förälder."
"Add Category","Lägg till kategori"
"Add Post","Lägg till inlägg"
"Blog","Blogg"
"Blog Categories","Blogg Kategorier"
"Blog Category","Blogg Kategori"
"Blog Post","Blogginlägg"
"Blog Post API","Blogginlägg API"
"Blog Posts","Blogginlägg"
"Blog Posts Grid Template","Gridmall för blogginlägg"
"Blog Recent Posts","Blogg senaste inlägg"
"Cache Lifetime (Seconds)","Cache-livstid (sekunder)"
"Categories","Kategorier"
"Category","Kategori"
"Category Information","Kategori Information"
"Category Posts","Kategori Inlägg"
"Category URL Prefix","Kategori URL-prefix"
"Category was successfully deleted","Kategorin har tagits bort"
"Category was successfully saved","Kategorin har sparats"
"Create blog post","Skapa blogginlägg"
"Create new post","Skapa nytt inlägg"
"Delete Category","Ta bort kategori"
"Delete Post","Ta bort inlägg"
"Delete post","Ta bort inlägg"
"Edit Category","Redigera kategori"
"Edit Category '%s'","Redigera kategori '%s'"
"Edit Post","Redigera inlägg"
"Edit Post '%s'","Redigera inlägg '%s'"
"Enable Blog Search in Autosuggest","Aktivera bloggsökning i Autosugast"
"Enable Categories","Aktivera kategorier"
"General","Allmänt"
"General Information","Allmän information"
"Get post info","Hämta inläggsinformation"
"Get post list","Hämta inläggslista"
"Include Images","Inkludera bilder"
"Level","Nivå"
"Maximum Blog Posts in Autosuggest","Maximalt antal blogginlägg i Autosugast"
"Meta Information","Meta Information"
"Meta Title","Meta Titel"
"New Category","Ny kategori"
"New Post","Nytt inlägg"
"Number of Posts to Display","Antal inlägg att visa"
"Parent Category","Överordnad kategori"
"Please select category(s)","Välj kategori(er)"
"Please select post(s)","Välj inlägg"
"Position","Befattning"
"Post Categories","Posta kategorier"
"Post Content","Posta innehåll"
"Post Information","Inlägg information"
"Posts","Inlägg"
"Posts in this category and its subcategories. Leave empty for all posts.","Inlägg i denna kategori och dess underkategorier. Lämna tomt för alla inlägg."
"Posts per Page","Inlägg per sida"
"Post was successfully deleted","Inlägget har tagits bort"
"Post was successfully saved","Inlägget har sparats"
"Publishing Date","Publiceringsdatum"
"Remove blog post","Ta bort blogginlägg"
"Retrieve blog post info","Hämta info om blogginlägg"
"Retrieve blog posts","Hämta blogginlägg"
"Save Category","Spara kategori"
"Save Post","Spara inlägg"
"Show in Navigation","Visa i navigering"
"Shown above the posts. Leave empty for no title.","Visas ovanför inläggen. Lämna tomt för ingen titel."
"Template","Mall"
"The latest published blog posts, optionally from one category","De senaste publicerade blogginläggen, valfritt från en kategori"
"There are no blog posts in this category.","Det finns inga blogginlägg i denna kategori."
"There are no blog posts to display.","Det finns inga blogginlägg att visa."
"This category no longer exists.","Denna kategori finns inte längre."
"This post no longer exists.","Det här inlägget finns inte längre."
"Title","Titel"
"Total of %d category(s) were deleted","Totalt antal %d kategorier har tagits bort"
"Total of %d post(s) were deleted","Totalt antal inlägg på %d togs bort"
"Update blog post","Uppdatera blogginlägg"
"Update post","Uppdatera inlägg"
"URL Prefix","URL Prefix"
